渨ie縠1渨ie縠1渨ie縠: 1
渨ie縠: 1/n渨ie縠: 1
 渨ie縠: 1
 渨ie縠: 1 G贸rowo I艂aweckie
date(h:i:s)	Nowa karta: 1 G贸rowo I艂aweckie11:30:42
	Nowa karta: 1 G贸rowo I艂aweckie11:31:20	Nowa karta: 1 G贸rowo I艂aweckie
11:31:35	Nowa karta: 1 G贸rowo I艂aweckie
11:34:50	Nowa karta: 1 Wartkowice
11:35:02	Nowa karta: 1 Wartkowice
11:35:45	Nowa karta: 1 - G贸rowo I艂aweckie
11:36:33	Nowa karta: 1 - G贸rowo I艂aweckie
11:36:36	Nowa karta: 1 - G贸rowo I艂aweckie
11:40:14	Nowa karta: 1 - G贸rowo I艂aweckie
11:46:01	Nowa karta: 1 - G贸rowo I艂aweckie
12:03:12	Nowa karta: 1 - G贸rowo I艂aweckie
12:04:59	Nowa karta: 1 - G贸rowo I艂aweckie
12:05:39	Nowa karta: 1 - G贸rowo I艂aweckie
12:09:21	Nowa karta: 1 - G髍owo I砤weckie
12:09:53	Nowa karta: 1 - G髍owo I砤weckie
12:09:54	Nowa karta: 1 - G髍owo I砤weckie
12:10:03	Nowa karta: 1 - G髍owo I砤weckie
12:10:12	Nowa karta: 1 - G贸rowo I艂aweckie
12:10:17	Nowa karta: 1 - G髍owo I砤weckie
12:10:49	Nowa karta: 1 - G髍owo I砤weckie
12:11:03	Nowa karta: 1 - G髍owo I砤weckie
12:11:04	Nowa karta: 1 - G髍owo I砤weckie
12:19:55	Nowa karta: 1 - G贸rowo I艂aweckie
12:26:56	Nowa karta: 1 - G贸rowo I艂aweckie
12:31:20	Nowa karta: 1 - G贸rowo I艂aweckie
12:32:03	Nowa karta: 1 - Górowo Iławeckie
12:33:48	Nowa karta: 1 - Górowo Iławeckie
12:49:14	Zczytane z bazy: 2 - Górowo Iławeckie
12:49:14	Wyliczone: 3 - Górowo Iławeckie
12:49:17	Zczytane z bazy: 3 - Górowo Iławeckie
12:49:17	Wyliczone: 4 - Górowo Iławeckie
